content_cost_ratio,competitor_moves,price_increase_pct,bundle_member,tenure_months,engagement_hours,support_tickets,region,plan_type,churn
0.538,4,6.48,1,36,41.1,0,NA,Standard,0
0.458,3,4.32,0,7,28.3,2,LATAM,Standard,1
0.565,1,7.22,0,1,42.2,0,NA,Standard,0
0.576,1,2.12,1,18,38.5,1,NA,Premium,0
0.403,0,4.57,0,9,24.2,1,LATAM,Premium,0
0.442,3,2.23,1,3,46.7,1,NA,Standard,0
0.528,4,1.88,1,9,81.2,0,NA,Basic,0
0.501,3,7.29,0,52,42.0,1,EU,Basic,1
0.519,2,1.46,0,2,15.8,0,NA,Standard,1
0.469,3,0.0,1,10,74.4,0,APAC,Standard,0
0.573,1,1.58,0,1,70.1,0,APAC,Standard,0
0.567,3,0.0,0,26,73.7,0,EU,Standard,0
0.524,3,1.1,1,3,44.2,0,NA,Premium,0
0.588,2,1.28,0,8,29.3,0,NA,Basic,0
0.548,1,3.07,0,13,27.1,0,APAC,Premium,1
0.468,0,0.0,0,3,67.8,0,NA,Basic,0
0.542,2,5.39,0,43,77.1,1,NA,Standard,0
0.462,3,0.0,1,24,26.6,1,NA,Premium,0
0.573,1,2.74,1,3,0.0,1,APAC,Standard,0
0.517,1,2.35,1,52,44.6,1,APAC,Premium,0
0.509,1,4.65,0,34,26.9,0,NA,Premium,0
0.479,0,3.7,1,13,30.9,0,NA,AdTier,0
0.593,1,5.37,0,10,40.2,2,APAC,Standard,1
0.511,3,2.28,0,45,53.2,1,NA,AdTier,0
0.494,1,2.07,0,3,29.4,0,NA,Standard,0
0.499,2,3.83,0,3,47.7,0,NA,Standard,0
0.552,1,5.06,0,21,42.5,0,NA,Premium,0
0.542,1,4.65,0,2,0.0,1,NA,AdTier,1
0.545,1,3.64,0,1,55.9,0,APAC,AdTier,0
0.546,2,3.47,0,16,36.0,0,NA,Standard,0
0.648,4,2.93,1,13,19.7,2,NA,Basic,1
0.496,1,3.82,0,11,30.5,0,EU,Standard,0
0.489,3,7.07,1,54,49.1,0,APAC,AdTier,0
0.471,1,2.51,0,15,45.9,0,EU,AdTier,0
